Issue Type,Summary,Description,Priority,Sprint,Story Points,Labels
Task,Design MySQL schema,"Define User, Media, and Review tables, keys, constraints, and indexes.",High,Sprint 1,3,database
Task,Implement user/media/review relationships,"Create foreign keys and review uniqueness/rating constraints.",High,Sprint 1,2,database
Story,Build media catalog data access,"List media records with type filtering and pagination-ready limit/offset.",High,Sprint 1,3,backend
Story,Implement media search data,"Search title, creator, and description with optional media type.",High,Sprint 1,3,backend
Story,Implement media details,"Retrieve one media item with average rating, review count, and reviews.",High,Sprint 1,3,backend
Story,Add new media to database,"Validate and insert a new movie, TV show, book, or game.",High,Sprint 1,3,backend
Task,Create database connection layer,"Load DB configuration from environment and provide reusable connection/cursor handling.",High,Sprint 1,2,backend
Task,Add backend route tests,"Mock repository calls and test health, validation, list, and create routes.",Medium,Sprint 1,2,testing
Story,Implement user signup persistence,"Store new users with secure password hashing and duplicate checks.",High,Sprint 2,5,backend
Story,Implement login authentication,"Validate credentials and integrate agreed session/token flow.",High,Sprint 2,5,backend
Story,Create and update reviews,"Persist user ratings/reviews and allow owner updates.",High,Sprint 3,5,backend
Task,Add review aggregate queries,"Support average rating and review statistics efficiently.",Medium,Sprint 3,3,database
Story,Connect frontend search to API,"Replace placeholder search behavior with live API results.",High,Sprint 4,5,integration
Task,Add catalog pagination and filters,"Support larger datasets and additional filtering.",Medium,Sprint 4,3,backend
Task,Create MySQL integration tests,"Run repository tests against an isolated test database.",Medium,Sprint 5,5,testing
Task,Document fresh clone setup,"Verify database/schema/backend startup from a new environment.",High,Final Sprint,2,documentation
